기준일,계,확진자(금일),확진자(전일),사망
2023-07-11,24167 ,35 ,24132 ,30 
2023-07-10,24132 ,16 ,24116 ,30 
2023-07-09,24116 ,12 ,24104 ,30 
2023-07-08,24104 ,20 ,24084 ,30 
2023-07-07,24084 ,17 ,24067 ,30 
2023-07-06,24067 ,18 ,24049 ,30 
2023-07-05,24049 ,26 ,24023 ,30 
2023-07-04,24023 ,39 ,23984 ,30 
2023-07-03,23984 ,16 ,23968 ,30 
2023-07-02,23968 ,9 ,23959 ,30 
2023-07-01,23959 ,22 ,23937 ,30 
2023-06-30,23937 ,25 ,23912 ,30 
2023-06-29,23912 ,18 ,23894 ,30 
2023-06-28,23894 ,17 ,23877 ,30 
2023-06-27,23877 ,32 ,23845 ,30 
2023-06-26,23845 ,7 ,23838 ,30 
2023-06-25,23838 ,6 ,23832 ,30 
2023-06-24,23832 ,9 ,23823 ,30 
2023-06-23,23823 ,13 ,23810 ,30 
2023-06-22,23810 ,10 ,23800 ,30 
2023-06-21,23800 ,10 ,23790 ,30 
2023-06-20,23790 ,7 ,23783 ,30 
2023-06-19,23783 ,4 ,23779 ,30 
2023-06-18,23779 ,1 ,23778 ,30 
2023-06-17,23778 ,4 ,23774 ,30 
2023-06-16,23774 ,11 ,23763 ,30 
2023-06-15,23763 ,16 ,23747 ,30 
2023-06-14,23747 ,11 ,23736 ,30 
2023-06-13,23736 ,23 ,23713 ,30 
2023-06-12,23713 ,4 ,23709 ,30 
2023-06-11,23709 ,4 ,23705 ,30 
2023-06-10,23705 ,17 ,23688 ,30 
2023-06-09,23688 ,10 ,23678 ,30 
2023-06-08,23678 ,17 ,23661 ,30 
2023-06-07,23661 ,6 ,23655 ,30 
2023-06-06,23655 ,5 ,23650 ,30 
2023-06-05,23650 ,2 ,23648 ,30 
2023-06-04,23648 ,6 ,23642 ,30 
2023-06-03,23642 ,5 ,23637 ,30 
2023-06-02,23637 ,10 ,23627 ,30 
2023-06-01,23627 ,10 ,23617 ,30 
2023-05-31,23617 ,19 ,23598 ,30 
2023-05-30,23598 ,7 ,23591 ,30 
2023-05-29,23591 ,14 ,23577 ,30 
2023-05-28,23577 ,11 ,9 ,30 
2023-05-27,23566 ,9 ,17 ,30 
2023-05-26,23557 ,17 ,23540 ,30 
2023-05-25,23540 ,8 ,23532 ,30 
2023-05-24,23532,8,23524,30
2023-05-23,23524,7,23517,30
2023-05-22,23517,7,23510,30
2023-05-21,23510,3,23507,30
2023-05-20,23507,12,23495,30
2023-05-19,23495,8,23487,30
2023-05-18,23487,12,23475,30
2023-05-17,23475,20,23455,30
2023-05-16,23455,12,23433,30
2023-05-15,23443,7,23436,30
2023-05-14,23436,8,23428,30
2023-05-13,23428,12,23416,30
2023-05-12,23416,14,23402,29
2023-05-11,23402,7,23395,29
2023-05-10,23395,7,23388,29
2023-05-09,23388,8,23380,29
2023-05-08,23380,8,23372,29
2023-05-07,23372,17,23355,29
2023-05-06,23355,5,23350,29
2023-05-05,23350,11,23339,29
2023-05-04,23339,8,23331,29
2023-05-03,23331,15,23316,29
2023-05-02,23316,24,23292,29
2023-05-01,23292,7,23285,29
2023-04-30,23285,15,23270,29
2023-04-29,23270,13,23257,29
2023-04-28,23257,10,23247,29
2023-04-27,23247,10,23237,29
2023-04-26,23237,10,23227,29
2023-04-25,23227,6,23221,29
2023-04-24,23221,9,23212,29
2023-04-23,23212,5,23207,29
2023-04-22,23207,14,23193,29
2023-04-21,23193,7,23186,29
2023-04-20,23186,11,23175,29
2023-04-19,23175,9,23166,29
2023-04-18,23166,19,23147,29
2023-04-17,23147,3,23144,29
2023-04-16,23144,8,23136,29
2023-04-15,23136,13,23123,29
2023-04-14,23123,8,23115,29
2023-04-13,23115,15,23100,29
2023-04-12,23100,12,23088,29
2023-04-11,23088,10,23078,29
2023-04-10,23078,2,23076,29
2023-04-09,23076,5,23071,29
2023-04-08,23071,7,23064,29
2023-04-07,23064,7,23057,29
2023-04-06,23057,13,23044,29
2023-04-05,23044,17,23027,29
2023-04-04,23027,11,23016,29
2023-04-03,23016,2,23014,29
2023-04-02,23014,7,23007,29
2023-04-01,23007,7,23000,28
2023-03-31,23000,8,22992,28
2023-03-30,22992,10,22982,28
2023-03-29,22982,13,22969,28
2023-03-28,22969,10,22959,28
2023-03-27,22959,6,22953,28
2023-03-26,22953,8,22945,28
2023-03-25,22945,7,22938,28
2023-03-24,22938,4,22934,28
2023-03-23,22934,10,22924,28
2023-03-22,22924,10,22914,28
2023-03-21,22914,6,22908,28
2023-03-20,22908,4,22904,28
2023-03-19,22904,1,22903,28
2023-03-18,22903,6,22897,28
2023-03-17,22897,7,22890,28
2023-03-16,22890,8,22882,28
2023-03-15,22882,2,22880,28
2023-03-14,22880,12,22868,28
2023-03-13,22868,3,22865,28
2023-03-12,22865,2,22863,28
2023-03-11,22863,6,22857,28
2023-03-10,22857,14,22843,28
2023-03-09,22843,6,22837,28
2023-03-08,22837,7,22830,28
2023-03-07,22830,7,22823,28
2023-03-06,22823,1,22822,28
2023-03-05,22822,4,22818,28
2023-03-04,22818,6,22812,28
2023-03-03,22812,6,22806,28
2023-03-02,22806,1,22805,28
2023-03-01,22805,5,22800,28
2023-02-28,22800,11,22789,28
2023-02-27,22789,4,22785,28
2023-02-26,22785,2,22783,28
2023-02-25,22783,11,22772,28
2023-02-24,22772,4,22768,28
2023-02-23,22768,6,22762,28
2023-02-22,22762,3,22759,28
2023-02-21,22759,7,22752,28
