■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
1,범죄도시3,2023-05-31,87130311881,0.6,98486705237,8745222,9969400,2582,253403,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
2,엘리멘탈,2023-06-14,16661492941,0.115,16668970941,1691732,1692554,1331,62632,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,트랜스포머: 비스트의 서막,2023-06-06,7731747754,0.053,7731747754,764377,764377,1123,44855,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
4,플래시,2023-06-14,6527899642,0.045,6527899642,614030,614030,1258,41890,미국,미국,워너브러더스 코리아(주)
5,스파이더맨: 어크로스 더 유니버스,2023-06-21,5309163912,0.037,5309163912,497687,497687,1103,29552,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
6,귀공자,2023-06-21,4779883699,0.033,4779883699,491179,491179,966,30085,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,가디언즈 오브 갤럭시: Volume 3,2023-05-03,2766466626,0.019,44325037304,269489,4205942,625,13806,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,인디아나 존스: 운명의 다이얼,2023-06-28,2261202192,0.016,2261202192,241367,241367,1261,11907,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
9,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,2114823986,0.015,4468340849,227540,578827,587,9424,일본,일본,"(주)넥스트엔터테인먼트월드(NEW),실버스푼"
10,인어공주,2023-05-24,1582040373,0.011,6660691884,158978,646933,597,8013,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,분노의 질주: 라이드 오어 다이,2023-05-17,1478183522,0.01,18472982282,148367,1773300,675,10600,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
12,남은 인생 10년,2023-05-24,717264000,0.005,1430044900,66519,133543,99,3023,일본,일본,(주)디스테이션
13,슈퍼 마리오 브라더스,2023-04-26,615024065,0.004,23539727302,64230,2393068,302,2335,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,606177200,0.004,606177200,58782,58782,176,3040,일본,일본,(주)씨제이이엔엠
15,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,426177684,0.003,7257283509,42857,731603,236,2177,일본,일본,(주)씨제이이엔엠
16,스즈메의 문단속,2023-03-08,358273141,0.002,56781264576,35441,5537535,155,1859,일본,일본,(주)쇼박스
17,아기공룡 둘리-얼음별 대모험,1996-07-24,274298283,0.002,981713037,29483,103020,191,1513,한국,한국,워터홀컴퍼니(주)
18,여름날 우리,2021-08-25,228318880,0.002,604165600,25301,66859,224,928,중국,중국,"(주)바이포엠스튜디오,찬란,메가박스중앙(주)"
19,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,492815000,0.003,492815000,20536,20536,72,400,한국,한국,씨제이 씨지브이(CJ CGV)(주)
20,수라,2023-06-21,178750756,0.001,214608756,20076,24065,136,1001,한국,한국,"스튜디오두마,미디어나무(주),스튜디오 에이드"
21,애스터로이드 시티,2023-06-28,189567866,0.001,189567866,19824,19824,269,1242,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
22,더 퍼스트 슬램덩크,2023-01-04,175240461,0.001,49026732842,16673,4691788,24,682,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
23,슬픔의 삼각형,2023-05-17,132471003,0.001,549874868,13369,56214,50,1011,미국,미국,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)"
24,부기맨,2023-06-06,126795164,0.001,128541164,11865,12059,193,1944,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
25,말없는 소녀,2023-05-31,105977755,0.001,130715668,11334,13990,52,952,아일랜드,아일랜드,주식회사 슈아픽처스
26,너의 눈을 들여다보면,2023-06-14,95547711,0.001,96123711,9727,9799,71,855,프랑스,프랑스,(주)디오시네마
27,드림팰리스,2023-05-31,66358204,0,84895204,9601,11912,75,916,한국,한국,㈜인디스토리
28,그 여름,2023-06-07,81160847,0.001,84768847,8558,8969,93,1102,한국,한국,판씨네마(주)
29,라이드 온,2023-05-31,69589109,0,100114008,8429,11964,93,680,중국,중국,"(주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다"
30,"자우림, 더 원더랜드",2023-06-07,85872381,0.001,91542381,8353,8731,109,1050,한국,한국,메가박스중앙(주)
31,비의도적 연애담 스페셜,2023-06-14,105343000,0.001,105343000,7023,7023,23,281,한국,한국,주식회사 넘버쓰리픽쳐스
32,하나님의 마음,2023-06-28,56237538,0,59873538,6367,6771,115,404,미국,미국,"주식회사 블루필름웍스,(주)버킷스튜디오"
33,라방,2023-06-28,51456749,0,51456749,6169,6169,282,1388,한국,한국,(주)트리플픽쳐스
34,사랑하는 당신에게,2023-05-31,52689152,0,56555850,5985,6486,28,483,벨기에,"벨기에,스위스",(주)티캐스트
35,파이어하트,2023-06-28,41440550,0,41440550,5526,5526,131,481,프랑스,프랑스,"(주)누리픽쳐스,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온"
36,샤이닝,2023-06-28,41983288,0,98631888,5378,12179,45,220,미국,미국,워너브러더스 코리아(주)
37,탑건,1987-12-19,42051000,0,178763200,4763,21712,15,247,미국,미국,(주)리틀빅픽쳐스
38,드림,2023-04-26,28262681,0,10808204098,4752,1126383,20,232,한국,한국,플러스엠 엔터테인먼트
