■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-01-01~2023-06-30   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,범죄도시3,2023-05-31,98486705237,0.162,98486705237,9969400,9969400,2582,268890,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"마동석,황순명,이준혁,아오키 무네타카,이범수,김민재,이지훈,김도건,고규필,전석호,안세호,한규원,최우준,최동구,이세호,이태규,배누리,최광제,심영은,김기호,고건한,신현용,쿠니무라 준,박지환,윤상돈,김지수"
2,스즈메의 문단속,2023-03-08,56781264576,0.093,56781264576,5537535,5537535,1572,242071,일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,
3,더 퍼스트 슬램덩크,2023-01-04,48968954842,0.081,49026732842,4686153,4691788,1060,226731,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,이노우에 다케히코,
4,가디언즈 오브 갤럭시: Volume 3,2023-05-03,44325037304,0.073,44325037304,4205942,4205942,1819,153523,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,카렌 길런,폼 클레멘티에프,빈 디젤,브래들리 쿠퍼,윌 폴터"
5,아바타: 물의 길,2022-12-14,47350863697,0.078,137647702899,3491916,10805065,2047,130411,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF,스릴러",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
6,슈퍼 마리오 브라더스,2023-04-26,23539727302,0.039,23539727302,2393068,2393068,1576,94613,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,코미디",,"크리스 프랫,안야 테일러 조이,잭 블랙,찰리 데이"
7,존 윅 4,2023-04-12,19955276604,0.033,19955276604,1924620,1924620,1535,89535,미국,미국,,(주)레드아이스 엔터테인먼트,청소년관람불가,액션,채드 스타헬스키,"키아누 리브스,로렌스 피쉬번,이안 맥쉐인,빌 스카스가드,견자단"
8,영웅,2022-12-21,17750927427,0.029,32285152750,1784697,3272376,1099,88132,한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,"드라마,뮤지컬",윤제균,"정성화,김고은,나문희,조재윤,배정남,이현우,박진주,권라희,지웅배"
9,분노의 질주: 라이드 오어 다이,2023-05-17,18472982282,0.03,18472982282,1773300,1773300,1731,93124,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,루이스 리테리어,"빈 디젤,제이슨 모모아,제이슨 스타뎀,샤를리즈 테론,브리 라슨,미셸 로드리게즈,성 강"
10,교섭,2023-01-18,17461011740,0.029,17461011740,1721111,1721111,1289,92617,한국,한국,"(주)영화사수박,원테이크필름",플러스엠 엔터테인먼트,12세이상관람가,드라마,임순례,"도기범,황정민,현빈,강기영"
11,엘리멘탈,2023-06-14,16668970941,0.027,16668970941,1692554,1692554,1331,62634,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피터 손,
12,앤트맨과 와스프: 퀀텀매니아,2023-02-15,16346738806,0.027,16346738806,1551129,1551129,2090,104768,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스"
13,드림,2023-04-26,10808204098,0.018,10808204098,1126383,1126383,1285,61668,한국,한국,(주)옥토버시네마,플러스엠 엔터테인먼트,12세이상관람가,"코미디,드라마",이병헌,"박서준,아이유,김종수,고창석,정승길,이현우,양현민,홍완표,허준석,이하늬,박재철,홍지석"
14,장화신은 고양이: 끝내주는 모험,2023-01-04,7872245363,0.013,7928562363,831209,836987,924,43468,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,조엘 크로포드,"안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,하비 길렌,샘슨 카요,와그너 모라,안토니 멘데즈,존 멀레이니,플로렌스 퓨,더바인 조이 랜돌프,레이 윈스톤"
15,트랜스포머: 비스트의 서막,2023-06-06,7731747754,0.013,7731747754,764377,764377,1123,44855,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,액션,스티븐 카플 주니어,"안소니 라모스,피터 딘클리지"
16,대외비,2023-03-01,7469385721,0.012,7469385721,756356,756356,1157,53616,한국,한국,"(주)트윈필름,(주)비에이엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,"범죄,드라마",이원태,"조진웅,이성민,김무열,원현준,김민재,유승목,김윤성,박세진,손여은,이상원,박정표,박상원,허지원,정기섭,박기선,한갑수,문정대,박상규,손성찬,엄옥란,박재원,양정인,곽진,이상협,권혁성,우수빈,김제형,김수환,문순주,최병윤,김성곤,박시완,최현도,여이레,정소리,윤도영,김진,문지영,허민아,김형명,이원진,정조준,최동구,이형원,김민준,이정우,유상재,양택호,이태일,김미현,임종훈,김탁,이유주,송용환,김가은,조영진,최민철"
17,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,7257283509,0.012,7257283509,731603,731603,844,28866,일본,일본,,(주)씨제이이엔엠,전체관람가,애니메이션,하시모토 마사카즈,
18,리바운드,2023-04-05,6687844348,0.011,6687844348,697340,697340,1154,56681,한국,한국,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",(주)바른손이앤에이,12세이상관람가,드라마,장항준,"김영훈,안재홍,이신영,정진운,정건주,김민,안지호,이준혁,김회진,김수진,강애심,민무제,최정윤,배성일,강신철,유인혜,송창규,이상원,이태영,백도겸,오현수,서자영,정서인,전영,윤인조,김용현,조준기,양한열,송예슬,김희상,변진수,유순웅,박경관,장준혁,정승원,김정한,이진혁,박시환,이남우,김방선,이형석,이은주,김종은,노경,유인혁,정윤호,한주희,백재민,이순원,성도현,정대경,이준서,김서원,김병준,조윤담,현진호,이진한,안정빈,한대훈,나현우,박건우,장현성,박상면,박재민"
