■ '더 퍼스트 슬램덩크' 일자별 통계정보,,,,,,,,,,,,,,
- 조회일: 2023-08-13,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2022-12-23,1,0.00%,2,0%,60,0.00%,100.00%,"540,000",540000 ( 100.0% ),60,60 ( 100.0% ),"540,000",60,39
2022-12-28,1,0.00%,1,0%,378,0.00%,100.00%,"6,426,000",6426000 ( 100.0% ),378,378 ( 100.0% ),"6,966,000",438,18
2022-12-29,11,0.20%,11,0.10%,"3,088",0.10%,103.10%,"31,671,000",25245000 ( 392.9% ),"3,183",2805 ( 742.1% ),"38,637,000","3,621",10
2022-12-30,9,0.10%,9,0.10%,"2,014",0.10%,99.20%,"18,981,000",-12690000 ( -40.1% ),"1,998",-1185 ( -37.2% ),"57,618,000","5,619",10
2022-12-31,1,0.00%,1,0%,141,0.00%,11.30%,"160,000",-18821000 ( -99.2% ),16,-1982 ( -99.2% ),"57,778,000","5,635",58
2023-01-02,7,0.10%,7,0%,"1,010",0.00%,100.00%,"9,090,000",9090000 ( 100.0% ),"1,010",1010 ( 100.0% ),"66,868,000","6,645",11
2023-01-04,809,12.40%,"2,096",12.60%,"267,645",11.40%,23.20%,"618,630,760",618630760 ( 100.0% ),"62,090",62090 ( 100.0% ),"685,498,760","68,735",2
2023-01-05,809,12.40%,"2,091",12.60%,"267,584",11.40%,15.70%,"418,760,478",-199870282 ( -32.3% ),"42,069",-20021 ( -32.2% ),"1,104,259,238","110,804",3
2023-01-06,843,12.80%,"2,274",13.30%,"293,899",12.20%,20.20%,"620,510,519",201750041 ( 48.2% ),"59,472",17403 ( 41.4% ),"1,724,769,757","170,276",3
2023-01-07,"1,023",14.60%,"2,673",14.80%,"353,922",14.00%,36.50%,"1,370,307,256",749796737 ( 120.8% ),"129,238",69766 ( 117.3% ),"3,095,077,013","299,514",3
2023-01-08,"1,022",14.60%,"2,660",15.20%,"355,035",14.40%,34.00%,"1,263,213,165",-107094091 ( -7.8% ),"120,605",-8633 ( -6.7% ),"4,358,290,178","420,119",3
2023-01-09,940,15.40%,"2,618",16.60%,"363,312",16.10%,11.90%,"436,131,578",-827081587 ( -65.5% ),"43,229",-77376 ( -64.2% ),"4,794,421,756","463,348",2
2023-01-10,953,15.20%,"2,618",16.60%,"361,691",16.10%,10.60%,"388,556,090",-47575488 ( -10.9% ),"38,514",-4715 ( -10.9% ),"5,182,977,846","501,862",2
2023-01-11,915,14.70%,"3,052",19.10%,"443,859",19.50%,10.60%,"473,923,451",85367361 ( 22.0% ),"47,241",8727 ( 22.7% ),"5,656,901,297","549,103",2
2023-01-12,940,14.90%,"3,063",19.30%,"445,616",19.70%,9.10%,"407,360,080",-66563371 ( -14.0% ),"40,576",-6665 ( -14.1% ),"6,064,261,377","589,679",2
2023-01-13,987,15.40%,"3,256",19.70%,"469,624",20.00%,13.60%,"666,718,361",259358281 ( 63.7% ),"63,697",23121 ( 57.0% ),"6,730,979,738","653,376",2
2023-01-14,"1,042",15.50%,"3,503",19.80%,"505,923",20.30%,30.30%,"1,608,265,970",941547609 ( 141.2% ),"153,322",89625 ( 140.7% ),"8,339,245,708","806,698",2
2023-01-15,"1,035",15.70%,"3,417",19.90%,"492,402",20.30%,26.00%,"1,328,806,649",-279459321 ( -17.4% ),"128,236",-25086 ( -16.4% ),"9,668,052,357","934,934",2
2023-01-16,953,16.80%,"3,241",21.70%,"469,992",21.90%,8.60%,"405,865,573",-922941076 ( -69.5% ),"40,257",-87979 ( -68.6% ),"10,073,917,930","975,191",2
2023-01-17,960,16.40%,"3,227",21.40%,"469,308",21.70%,8.10%,"383,031,252",-22834321 ( -5.6% ),"38,025",-2232 ( -5.5% ),"10,456,949,182","1,013,216",2
2023-01-18,725,11.30%,"2,047",11.60%,"273,281",10.80%,13.80%,"378,419,939",-4611313 ( -1.2% ),"37,714",-311 ( -0.8% ),"10,835,369,121","1,050,930",3
2023-01-19,752,11.40%,"2,111",12.10%,"283,832",11.30%,12.20%,"347,809,385",-30610554 ( -8.1% ),"34,504",-3210 ( -8.5% ),"11,183,178,506","1,085,434",2
2023-01-20,835,12.10%,"2,374",12.90%,"315,990",12.00%,22.70%,"761,028,245",413218860 ( 118.8% ),"71,885",37381 ( 108.3% ),"11,944,206,751","1,157,319",2
2023-01-21,"1,008",13.50%,"2,835",14.80%,"382,219",14.00%,26.90%,"1,095,050,559",334022314 ( 43.9% ),"102,660",30775 ( 42.8% ),"13,039,257,310","1,259,979",2
2023-01-22,"1,026",14.00%,"2,915",15.60%,"394,546",14.70%,23.20%,"995,034,655",-100015904 ( -9.1% ),"91,380",-11280 ( -11.0% ),"14,034,291,965","1,351,359",3
2023-01-23,"1,060",13.80%,"3,027",15.60%,"411,073",14.80%,33.30%,"1,443,805,489",448770834 ( 45.1% ),"136,856",45476 ( 49.8% ),"15,478,097,454","1,488,215",3
2023-01-24,"1,035",13.60%,"2,884",15.50%,"391,743",14.80%,27.10%,"1,105,106,429",-338699060 ( -23.5% ),"105,993",-30863 ( -22.6% ),"16,583,203,883","1,594,208",3
2023-01-25,807,11.50%,"2,497",14.20%,"390,295",15.50%,12.60%,"412,512,707",-692593722 ( -62.7% ),"49,180",-56813 ( -53.6% ),"16,995,716,590","1,643,388",2
2023-01-26,794,11.50%,"2,475",14.70%,"388,735",16.00%,7.80%,"305,669,122",-106843585 ( -25.9% ),"30,127",-19053 ( -38.7% ),"17,301,385,712","1,673,515",2
2023-01-27,836,11.70%,"2,594",14.90%,"402,496",16.10%,10.40%,"440,411,836",134742714 ( 44.1% ),"41,794",11667 ( 38.7% ),"17,741,797,548","1,715,309",1
2023-01-28,899,11.50%,"2,829",15.10%,"429,627",16.10%,25.40%,"1,144,288,430",703876594 ( 159.8% ),"109,146",67352 ( 161.2% ),"18,886,085,978","1,824,455",1
2023-01-29,904,11.60%,"2,814",15.40%,"427,380",16.50%,23.00%,"1,020,442,187",-123846243 ( -10.8% ),"98,263",-10883 ( -10.0% ),"19,906,528,165","1,922,718",1
2023-01-30,820,12.40%,"2,663",16.80%,"416,008",18.00%,8.70%,"362,220,546",-658221641 ( -64.5% ),"36,042",-62221 ( -63.3% ),"20,268,748,711","1,958,760",1
2023-01-31,852,12.40%,"2,689",16.60%,"419,421",17.90%,8.60%,"355,860,954",-6359592 ( -1.8% ),"36,048",6 ( 0.0% ),"20,624,609,665","1,994,808",1
2023-02-01,864,12.70%,"2,718",17.90%,"428,147",19.80%,9.70%,"412,571,526",56710572 ( 15.9% ),"41,669",5621 ( 15.6% ),"21,037,181,191","2,036,477",1
2023-02-02,866,12.30%,"2,656",17.80%,"420,052",19.70%,8.40%,"351,929,379",-60642147 ( -14.7% ),"35,395",-6274 ( -15.1% ),"21,389,110,570","2,071,872",1
2023-02-03,922,12.80%,"2,919",18.70%,"461,296",20.80%,10.70%,"512,979,965",161050586 ( 45.8% ),"49,254",13859 ( 39.2% ),"21,902,090,535","2,121,126",1
