날짜,장소,미세먼지,초미세먼지,날씨,기온,10시30분,11시,11시30분,12시,12시30분,13시,13시30분,14시,14시30분,15시,15시30분,총방문객
2023. 1. 9,제주,매우나쁨,나쁨,맑음,5,17,82,72,50,40,48,37,19,48,0,0,413
2023. 1. 15,강원,좋음,좋음,눈,0.7,15,101,77,82,79,87,76,35,19,0,0,571
2023. 2. 6,제주,매우나쁨,나쁨,맑음,4.9,54,114,95,90,84,59,28,12,11,0,0,547
2023. 2. 12,인천,나쁨,나쁨,맑음,2.5,122,293,217,244,239,209,208,234,137,87,49,"2,039"
2023. 2. 19,강원,나쁨,보통,비,3.8,14,87,86,126,121,120,114,108,104,0,0,880
2023. 3. 6,제주,나쁨,보통,맑음,12.9,49,118,88,81,71,69,58,33,21,0,0,588
2023. 3. 12,대전,나쁨,보통,비,6.4,91,301,244,284,156,321,188,389,287,238,244,"2,743"
2023. 3. 18,경기,나쁨,보통,맑음,7.8,321,408,457,393,432,380,362,502,575,0,0,"3,830"
2023. 3. 25,광주,매우나쁨,보통,맑음,12.6,58,325,321,337,336,252,247,225,330,172,92,"2,695"
2023. 4. 3,제주,나쁨,보통,맑음,13,51,141,66,68,48,55,54,18,12,0,0,513
2023. 4. 9,서울,나쁨,보통,맑음,13.7,376,883,930,"1,250","1,128","1,294","1,454","1,088",964,793,738,"10,898"
2023. 4. 15,울산,나쁨,보통,비,12.1,190,297,244,258,299,232,288,302,453,0,0,"2,563"
2023. 4. 22,서울,나쁨,좋음,맑음,16.8,222,785,903,"1,113","1,258","1,588","1,708","1,733","1,275",0,0,"10,585"
