"Year","Population","Material footprint","GDP"
"2000",100,100,100
"2001",101.275916671001,101.835719912012,102.020654620916
"2002",102.557241191933,103.168023597404,104.255572950612
"2003",103.847058243784,108.592501816575,107.34979860205
"2004",105.148307824753,114.851727695415,111.996572485248
"2005",106.463009634794,119.965735792715,116.319667279395
"2006",107.792357670492,125.460380061322,121.364753905917
"2007",109.136061267722,131.069471453039,126.465992046255
"2008",110.492490314303,133.317594980698,128.904935554655
"2009",111.858962352693,134.010411222056,126.776565113655
"2010",113.232892476224,142.184431702699,132.135210093291
"2011",114.61351626586,149.500020828404,136.158421385904
"2012",115.999492706875,151.692726342788,139.507928599354
"2013",117.386790030928,156.444082480796,143.164973440586
"2014",118.770459467637,158.936921730579,147.182900258879
"2015",120.146467454976,162.439222347006,151.340791172668
"2016",121.512706020752,166.651453393966,155.002404956705
"2017",122.868242656902,170.871325459269,159.756437560722
