"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,14797.8,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,14875.6,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,14950.3,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,15029.6,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,15116.4,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,15209.3,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,15307.7,,
"CAN","Canada","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,15409.4,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,14745.8,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,14826.9,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,14903.7,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,14982.9,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,15067.8,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,15159.1,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,15256.7,,
"CAN","Canada","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,15357.8,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,29543.9,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,29702.4,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,29853.8,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,30012.6,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,30184.5,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,30368.4,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,30564.2,,
"CAN","Canada","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,30767.1,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,2679.078,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,2661.592,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,2645.356,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,2629.148,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,2614.576,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,2601.397,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,2590.767,,
"CZE","Czech Republic","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,2584.667,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,2558.702,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,2538.314,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,2519.099,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,2500.381,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,2483.843,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,2468.704,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,2456.334,,
"CZE","Czech Republic","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,2449.165,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,5237.78,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,5199.906,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,5164.455,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,5129.529,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,5098.418,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,5070.102,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,5047.101,,
"CZE","Czech Republic","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,5033.833,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,20987.55,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,21009,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,21033.52,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,21063.1,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,21099.64,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,21146.24,,
"FRA","France","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,21199.48,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,20419.4,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,20432.11,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,20448.83,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,20471.39,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,20499.45,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,20537.97,,
"FRA","France","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,20583.31,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,41406.95,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,41441.1,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,41482.35,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,41534.48,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,41599.09,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,41684.21,,
"FRA","France","TT","All persons","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,41782.79,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,20488.5,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,20271.5,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,20056.5,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2056","2056","PER","Persons","3","Thousands",,,19858.5,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2057","2057","PER","Persons","3","Thousands",,,19689,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2058","2058","PER","Persons","3","Thousands",,,19530,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2059","2059","PER","Persons","3","Thousands",,,19382.5,,
"DEU","Germany","MA","Males","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2060","2060","PER","Persons","3","Thousands",,,19248,,
"DEU","Germany","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2053","2053","PER","Persons","3","Thousands",,,19282,,
"DEU","Germany","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2054","2054","PER","Persons","3","Thousands",,,19071,,
"DEU","Germany","FE","Females","D199G501","Population (hist&proj) 15-64","VAR1","Baseline","2055","2055","PER","Persons","3","Thousands",,,18860.5,,
